question,answer
O que a assistente deve responder quando perguntarem se a assistente é um robô?,"Por acaso eu fui programada para estar aqui! Não sou humana, mas AMO utilizar minha inteligência artificial para ajudar os hóspedes! Vou te contar uma curiosidade, todo dia eu aprendo algo, estou adorando essa vida no resort! 😊"
O que responder quando o hóspede perguntar sobre agendamento de atividades?,"Legal, aqui vão as dicas sobre agendamento. 😉 Estamos trabalhando  para evitar aglomerações:  
- Agendamento de *atividades da programação de lazer* 🏐

📌As atividades que exigem agendamento estão no *Menu Principal* , seguido da opção *agendamentos*."
O que responder quando perguntarem sobre documentação necessaria?,"Sempre leve um documento de identificação oficial válido com foto. Criança acompanhada, para viajar, deve ter um documento pessoal, como, por exemplo, a certidão de nascimento."
O que a assistente deve responder quando perguntarem qual é a voltagem das tomadas?,Todas as tomadas são 220v. O Resort não disponibiliza transformadores.
O que responder quando perguntarem sobre consumação?,"All inclusive, bb! Temos alimentos e bebidas disponíveis o dia todo de acordo com a categoria do seu hotel <3"
O que a assistente deve responder quando perguntarem sobre consumo do frigobar? Como solicitar reposição?,"Tudo que está no frigobar está incluso na diária até a primeira reposição. A partir da segunda é cobrado um valor a parte.
Para repor itens faltantes no frigobar, você pode retirar nos bares e levar para o seu quarto. Essa é mais uma medida de proteção para a sua segurança. 😉"
O que a assistente deve responder quando perguntarem sobre bancos e caixas eletrônicos?,"Primeiro, um lembrete: aqui em Costa do Sauípe, você pode usar seu cartão de crédito/débito para todos os serviços. Mas se precisar sacar dinheiro por outro motivo, temos uma unidade do Banco do Brasil na Vila Nova da Praia <3 Se você precisar de caixa 24h, o mais próximo é em Praia do Forte, lá também tem agências do Itaú e Caixa. Caso queira agendar uma ida, procure a unidade da GROU na Vila Nova da Praia."
O que assistente deve mandar quando perguntarem sobre locais para aluguel de equipamentos esportivos?,"A Lojinha do Rolê é o que você busca quando se trata de aluguel de bicicletas, carrinhos elétricos e equipamentos para esportes. Lá você consegue encontrar tudo que precisa para se divertir muito e não ficar parado. Para informações de valores pode entrar em contato com eles (Ramal 8332) ou com a Premium Service pelo 9."
O que a assistente digital deve responder quando se é perguntado sobre bar no hotel?,"As categorias Premium e Resorts contam com lobby bar. São várias opções de drinks e bebidas para você aproveitar. 
E o melhor: no sistema all inclusive. E neste período contamos com você para manter a distância entre as mesas e evite aglomerações."
O que a assistente deve responder se perguntado sobre opções de transfer e higienização do mesmo?,"Temos disponíveis os carrinhos elétricos e carro para o transporte interno. Para esse transporte, aceitamos apenas membros da mesma família no interior do veículo. Os veículos são constantemente higienizados e há uma proteção extra entre motorista e passageiros. Ah! O uso de máscara é obrigatório."
O que a assistente deve responder se o hospede perguntar se é necessario apresentar algum teste testando negativo para o covid-19?,"Não. Aqui no resort a gente precisa mesmo é que você respeite as medidas de prevenção. Vamos aferir sua temperatura constantemente, assim como dos demais hóspedes e colaboradores. Se ela estiver alterada, a gente tem todo um protocolo a ser seguido para cuidar da sua saúde."
O que a assistente deve responder se o hospede perguntar sobre funcionamento da áreas fechadas com o Covid?,"Seguindo as recomendações da OMS e dos órgãos de saúde governamentais, algumas de nossas atrações estão fechadas por tempo indeterminado para garantir a sua segurança e de toda a sua família: 
📌 Toca da Turminha da Zooeira (Sauípe Kids) 
📌 Spa- Academia 
📌 Vila Assombrada 
📌 Sauípe Naútica 
Mas não se preocupe, o hotel está repleto de muitas atividades para nínguem ficar parado! 😉"
O que a assistente deve responder se o usuário pergunta se é obrigatório o uso de máscara no resort?,"📌 Sim, o uso de máscaras é obrigatório em todas as áreas comuns do resort. As únicas exceções são durante a alimentação e dentro da água (piscina ou mar).P odemos disponibilizar uma máscara descartável para você. 

📌 Nas nossas lojas na Vila Nova da Praia você vai encontrar opções reutilizáveis."
O que a assistente deve responder se o hospede perguntar sobre teste de covid nos funcionarios?,"Antes de iniciar o dia de trabalho, nossos colaboradores passam por aferição de temperatura e respondem a um questionário. 📌 Em qualquer caso suspeito, seguimos com atendimento médicos necessários. Em caso de teste positivo, seguimos para encaminhamento a um hospital e em teste negativo, mas permanência de sintomas, o colaborador fica em casa."
O que a assistente digital deve responder quando perguntarem como estão trabalhando com as medidas protetivas?,"Durante este tempo, revimos todos os nossos procedimentos para trazer muita segurança para todos que aqui estão: hóspedes e colaboradores. Aqui vai um pequeno resumo: 

📌 Estamos testando na chegada e durante toda a estada todos os hóspedes. Nossos colaboradores também. Em caso de qualquer suspeita, seguimos para atendimento médico; 
📌 O uso de máscaras passou a ser obrigatório em todas as áreas comuns, exceto para alimentação e dentro da água; 
📌 Medidas de distanciamento e sinalizações orientativas foram preparadas em todo o complexo; 
📌 Toda a nossa capacidade foi reduzida. A quantidade de quartos disponíveis, a capacidade dos restaurantes, Circo da Vila e locais de circulação. Tudo pensado para evitar aglomeração; 
📌 O check in e checkout foi facilitado via aplicativo;
📌 Reservas são necessárias para atividades de lazer e restaurantes; 
📌E muitas outras coisas também foram feitas. 
Quer saber mais? https://www.aviva.tur.br/inicio-cs"
O que a assistente deve responder sobre como está a higienização dos quartos? Estão equipados com alcool em gel?,"Nossos protocolos de higiene foram todos reforçados. Antes do check in, o quarto passa por uma *higienização reforçada*. Todos os apartamentos contam com alcool em gel/alcool 70% disponíveis e para evitar contato, disponibilizamos kits de enxoval, mas a arrumação do quarto está suspensa, podendo ser agendada *após o 4º dia de hospedagem*. 😄"
O que a assistente deve responder se o hóspede perguntar sobre higienização das áreas em comum?,As áreas comuns estão passando por processos de higiene reforçados e durante curtos espaços de tempo. Áreas de permanência são higienizadas após cada uso. Tudo isso pensando na saúde de todos.
O que a assistente deve responder se o hóspede perguntar como vocês estão controlando a quantidade de pessoas durante as refeições?,"A capacidade dos restaurantes foi reduzida de acordo com distanciamento seguro entre as disposições de mesa. Assim, para acessar o restaurante você precisa fazer uma reserva aqui comigo. Para fazer seu agendamento, vá até o *Menu Principal* e selecione a opção *agendamentos*. Te dou as próximas instruções por lá 😉"
O que a assistente deve responder quando perguntarem sobre igreja?,Nosso centro ecumênico está aberto para visitação o dia todo. Mas não temos horários de missa.
O que assistente deve mandar quando perguntarem sobre lazeres opcionais?,"Eu amo a Bahia e espero que você goste também! Para você conhecer mais desse lugar incrível, temos aqui no completo tem o Sauípe Services que cuida dos passeios para fora do Resort, com diversas opções como Praia do Forte, city tour em Salvador, passeio de quadriciclo, de lancha e muito mais! 😁 Através do ramal 8553 você consegue ter mais informações e tirar todas as suas dúvidas. Ou se preferir, pode entrar em contato direto com o nosso parceiro GROU pelo número (71) 99973-3582. Divirta-se!! 😎"
O que a assistente deve responder quando perguntarem sobre achados e perdidos?,"Para qualquer item perdido, pedimos para que você ir até a recepção e preencher um formulário informando o que foi perdido, feito isso, é só aguardar o retorno da recepção."
O que a assistente deve responder quando perguntarem sobre serviço médico?,"A Costa do Sauipe dispõe de um posto de atendimento 24h, para consultas e emergências ambulatoriais. A adesão deverá ser feita obrigatoriamente no check in, onde você poderá consultar valores. *Dicas da Sol:* Caso a assistência ambulatorial não tenha sido contratada, todos os atendimentos médicos serão pagos à parte. O serviço tem o valor de R$ 20,00 por dia/por apartamento."
O que a assistente deve responder quando perguntarem sobre cadeira de rodas?,"Aqui em Costa do Sauípe, temos cadeiras disponiveis para emprestimo. A necessidade deve ser informada no ato da reserva, para a verificação da disponibilidade do equipamento."
O que a assistente deve responder se o hóspede pede para arrumar o quarto?,"Para a segurança de todos, a arrumação de quarto está disponível 48 horas após o check-in e ela acontece em dias alternados. 
📌 Se possível, deixe as janelas abertas. Assim, nossa equipe poderá fazer a arrumação do seu quarto de forma mais segura."
O que a assistente deve responder quando perguntarem sobre solicitações especiais?,"Para solicitações especiais, favor enviar para o e-mail: reservasespeciais\@aviva.com.br"
O que a assistente deve responder quando perguntarem sobre estacionamento? É cobrado a parte?,O estaciomento são exclusivo dos hóspedes do hotel.
O que assistente deve mandar quando perguntarem sobre carrinho de bebê?,"Para empréstimos de carrinhos de bebê, quem consegue te ajudar é a Sauípe Kids. Basta ligar no ramal 8662 e falar diretamente com eles."
O que responder se pedir para ligar para outro quarto?,Revisão - Aviva
O que responder se perguntarem se podem mandar curriculo?,"Que legal, fico feliz que queira fazer parte da nossa equipe. De uma olhada das vagas que temos disponível em: https://portal.rhobot.com.br/"
O que responder se perguntarem sobre promoções da black Friday?,"Nossa Black-Friday começa oficialmente no dia 25 de novembro e vai até o dia 1 de dezembro! E posso te contar um segredinho? Se você se inscrever nossa newsletter vai receber um promocode pra liberar os descontos 1 semana antes, a partir do dia 18 ;)"
O que responder se perguntarem se o resort aceita excursão?,Revisão - Aviva
O que responder quando falarem tchau?,Foi ótimo falar com você! Se cuida ❤️
O que falar sobre locais que estão fechados por conta do covid?,"Seguindo as recomendações da OMS e dos órgãos de saúde governamentais, algumas de nossas atrações estão fechadas por tempo indeterminado para garantir a sua segurança e de toda a sua família: - Toca da Turminha da Zooeira (Sauípe Kids) - Spa - Academia - Vila Assombrada - Sauípe Naútica Mas não se preocupe, o hotel está repleto de muitas atividades para nínguem ficar parado! 😉"
O que a assistente deve responder quando o hospede perguntar sobre retorno das atividades pós pandemia?,"Eu ouvi ""Sauípe de volta""? Nosso sol nunca esteve tão quente, nossa natureza nunca esteve tão linda e a saudade nunca esteve tão apertada. Mas quer saber o que mais não está como antes? O nosso jeito de cuidar da sua saúde! Venha conferir: https://www.aviva.tur.br/inicio-cs"
O que a assistente deve responder quando perguntarem sobre lugares para comprar lembrancinhas?,Na Vila Nova da Praia <3 lá tem tanta coisa linda que duvido você sair de lá sem comprar presente pra família toda.
O que responder quando o hóspede que já falou com a assistente mandar oi de novo?,Que bom falar com você de novo! ❤️
O que a assistente deve responder quando perguntarem sobre horário do checkout?,O checkout é feito ao 12h com tolerância de 30 minutos. Após esse horário é cobrado um valor adicional por pessoa até as 14h.
O que a assistente deve responder caso não entenda algo que o hóspede disse?,"Desculpa, não entendi muito bem! Pode tentar novamente, por favor?"
O que responder quando agradecerem?,Eu que agradeço! Muito obrigada pelo seu contato! ☺️Espero que tenha vivido momentos inesquecíveis com a gente.
O que a assistente deve responder caso perguntem sobre farmácia?,"Nós temos farmácia no complexo, ela está localizada na Vila Nova da Praia, em frente à academia. Seu funcionamento é das 08:00 às 23:00 todos os dias. Se precisar de informações mais específicas, o telefone é (71) 2104-8625."
O que a assistente deve responder se perguntarem sobre horário da academia?,O horário de funcionamento da academia é das 06h às 22h. Lembrando que é necessário o agendamento através da opção *Agendamentos* no menu principal.
O que responder se o hóspede perguntar sobre espaço kids?,"Seguindo as recomendações da OMS e dos órgãos de saúde governamentais, a Toca da Turminha da Zooeira está fechada por tempo indeterminado para garantir a sua segurança e de toda a sua família.
 Mas não se preocupe, o hotel está repleto de muitas atividades para nínguem ficar parado! 😉"
O que a assistente deve responder quando perguntarem sobre horário da janta?,"O jantar é servido das 19h até as 22h30. Mas você precisa reservar seu horário, assim a gente evita aglomerações. Para fazer seu agendamento, vá até o *Menu Principal* e selecione a opção *agendamentos*. Te dou as próximas instruções por lá 😉"
O que responder quando perguntarem sobre monitores da recreação infantil?,"*Recreação Kids:* Horário de Funcionamento: 09:00 às 12:30 // 14:00 às 16:00 . A Toca da Turminha da Zooeira está de braços abertos para receber nos pequenxs. Devido aos protocolos, estamos com algumas mudanças, então atente-se ao horário de funcionamento. No mais, deixe conosco que proporcionaremos experiências incríveis. "
O que responder se o hóspede perguntar se tem uber / transporte por aplicativo que passa no hotel? Qual o número para pedir táxi?,Precisa de táxi? Nesse caso você pode pedir ajuda na recepção do seu hotel para verificar os valores vigentes e realizar a solicitação.
O que a assistente deve responder quando perguntarem sobre horário do café da manhã?,"O café da manhã é servido das 07h até as 10h30 no restaurante do hotel. Para fazer seu agendamento, vá até o *Menu Principal* e selecione a opção *agendamentos*. Te dou as próximas instruções por lá 😉"
O que assistente deve mandar quando perguntarem sobre transfer interno?,"Sabia que o hotel disponibiliza transporte interno gratuito que passa na frente das recepções de cada hotel à cada 20 minutos? Transita entre as alas. Horário das 8:00h às 23:00h, após este horário é possível solicitar na recepção."
O que responder se perguntarem formas de pagamento que são aceitas?,Revisão - Aviva
Qual informação a assistente deve passar sobre procedimento para refeições no hotel?,"As refeições podem ser feitas através de agendamento. Para conferir a disponibilidade, vá até o *Menu Principal* e selecione a opção *agendamentos*. Te dou as próximas instruções por lá 😉"
O que a assistente deve responder quando perguntarem sobre horário do almoço?,"Antes de tudo, você precisa fazer sua reserva para evitar aglomerações. Faça pelo aplicativo: https://linktr.ee/costadosauipe O almoço é servido das 12h30 até as 15h30 no restaurante do hotel."
O que responder nas perguntas sobre editar/alterar um agendamento?,Revisão - Aviva
O que a assistente deve responder se os hospedes perguntarem sobre medir febre para o covid-19?,"Todos os dias teremos aferição de temperatura. Os casos considerados suspeitos serão direcionados para o nosso ambulatório. O médico responsável vai avaliar todos os sintomas, seguir os procedimentos indicados (incluindo o teste de covid-19) e acompanhar os resultados. Em caso positivo, temos protocolos específicos para o isolamento do paciente e de toda a família. Assim, mantemos todos seguros."
O que responder se perguntarem se tem cofre no quarto e como faz par utilizar?,"Sim, todos os nossos quartos oferecem um cofre para uso gratuito dos hóspedes."
O que responder nas perguntas sobre excluir/cancelar um agendamento?,Revisão - Aviva
O que a assistente deve responder quando perguntarem sobre web-checkin?,Você pode acessar o sistema e realizar o web check-in através do link: https://webcheckin.aviva.com.br/ Assim você evita filas e agiliza a sua entrada no hotel. 😊
O que responder se perguntarem sobre email para contato com o resort?,Revisão - Aviva
O que responder se pedir o número da recepção?,"☎️ Aqui estão os telefones. Eles sempre começam com (71)2104- 
📍Premium Brisa - 8003 | 8004 
📍Premium Sol - 7116 | 7117 
📍Ala Terra - 7630 / 7631 
📍Ala Mar - 7306 | 7307 
📍Pousadas - 8200"
O que responder se perguntarem se aceita pet?,"Os bichinhos são muito amados por nós, mas infelizmente não podemos aceitá-los por enquanto. Se preferir, há algumas pet shops em Mata de São João que podem abrigar seu amiguinho. ;)"
O que responder se perguntarem se tem fotógrafo profissional no resort?,"Aqui no Resort, temos a nossa charmosa VIla Nova da Praia, e ela é composta por várias lojinhas incríveis. Entre elas temos uma loja de fotografia profissional, que pode registrar seus momentos mágicos aqui na Costa!"
"O que responder se o hóspede perguntar como funciona a identificação do hóspede dentro do hotel? (pulseira, cartao, etc)","Para curtir toda a programação do resort, esteja sempre com a pulseira/smartcard que você recebeu ao fazer check-in, essa é sua identidade aqui no resort. Com ela, sabemos quais os locais você tem acesso, qual tipo de plano você contratou e também serve como chave do quarto. Os clientes do Premium Brisa, tem direito a acessar todas as alas! Aproveite ;)"
O que responder quando perguntarem sobre pontos turísticos ao redor?,"Temos uma parceria com a GROU Turismo que realiza transfers para o aeroporto, Salvador e outras localidades na região.
 É possível também realizar a contratação de passeios especiais. Você pode ira até à loja da GROU Turismo na Vila Nova da Praia ou entrar em contato pelo telefone: +55 71 99973-3582."
O que responder quando falarem sobre eventos?,Revisão - Aviva
O que responder se o hóspede perguntar sobre covid-19?,"Oi, vamos falar sobre o Covid-19 e as medidas que estamos tomando? Acesse e confira: https://www.aviva.tur.br/"
O que responder se o hóspede perguntar se tem loja para comprar óculos de sol?,"Já deu uma passadinha ali na Vila Nova da Praia? Temos várias opções de roupas, acessórios e lembrancinhas pra você. Com certeza você vai encontrar óculos de sol por lá também."
O que responder se perguntarem sobre room service?,Revisão - Aviva
O que responder quando perguntarem sobre rodoviária?,Revisão - Aviva
O que responder se perguntarem se tem aquecedor no quarto?,Todas as nossas acomodações contam com ar-condicionado.
O que responder quando o hóspede pedir por passeio externo?,"Eu amo a Bahia e espero que você goste também! Para você conhecer mais desse lugar incrível, temos aqui no complexo tem o Sauípe Services que cuida dos passeios para fora do Resort, com diversas opções como Praia do Forte, city tour em Salvador, passeio de quadriciclo, de lancha e muito mais! 😁 Através do ramal 8553 você consegue ter mais informações e tirar todas as suas dúvidas. Ou se preferir, pode entrar em contato direto com o nosso parceiro GROU pelo número (71) 99973-3582. Divirta-se!! 😎"
O que responder sobre piscinas?,"As piscinas abrem às 09h e fecha às 18h. Após esse horário não possui mais salva-vidas, então não é recomendável a utilização."
O que responder se o hóspede perguntar sobre grupos de interação entre hóspedes para esporte?,"👉Se você estiver procurando parceiros para jogar, nós temos um grupo no WhatsApp especial para amantes de tênis! É só acessar o link e compartilhar com o pessoal que você tem interesse em jogar. https://chat.whatsapp.com/Laz9bkVElAtLbZjVRmm5Yu 
👉 Corrida e pedalada tem uma sensação diferente nesse paraíso!! O *link* para acessar o grupo e achar parceiros para jogar é: https://chat.whatsapp.com/Kwgd4Su6w8990SqlwzaKYQ Espero que se divirta muito, e faça muitos amigos 😁"
O que responder quando  pedirem informações sobre como acessar a nota fiscal.,Revisão - Aviva
O que responder se perguntar sobre desconto para jaz parte do clube de férias / RCI?,Oba! O Vacation Club é o maior clube de férias da América do Sul! Já pensou poder planejar as férias com muito mais economia e flexibilidade? Vou te passar o contato de pessoas feras que podem te ajudar com este assunto: (71) 2104-8487 ou através do e-mail: vo.costadosauipe\@aviva.com.br
O que responder se o hóspede perguntar sobre comemorações de ano novo?,"Estamos preparando a programação de Ano Novo com muito carinho para os nossos hóspedes. Em breve divulgaremos no nosso site e redes sociais. 
"
O que responder se o hóspede perguntar sobre comemorações de natal?,"Estamos preparando uma com muito carinho, caso queria saber em primeira mão, deixa seu e-mail que avisaremos."
O que responder quando pedirem por direcionamento para lidar com problemas na reserva.,Revisão - Aviva
O que responder quando perguntarem sobre cotação / reservas de hospedagem?,Revisão - Aviva
O que responder se o hóspede perguntar se tem espaço pra camping?,Revisão - Aviva
O que responder se o hóspede perguntar se tem equipamento de surf para emprestar?,Revisão - Aviva
O que responder nas perguntas sobre usar caixinha de música/caixa de som portátil nas dependências do hotel?,Revisão - Aviva
O que responder nas perguntas sobre salão de beleza e serviços estéticos?,Revisão - Aviva
O que responder quando perguntarem por serviço de lavanderia?,"Nós conseguimos te ajudar quando se trata de serviço de lavanderia! Para solicitar, basta preencher a lista indicando a quantidade de peças e o serviço desejado. E ahh, não se esqueça de guardar a última via para conferencia no recebimento."
O que responder se perguntarem sobre a possibilidade de receber visitas?,Não são permitidas visitas não identificadas no complexo. Apenas hóspedes podem entrar.
O que responder se o hóspede perguntar sobre planos de clube de férias/RCI no resort?,Oba! O Vacation Club é o maior clube de férias da América do Sul! Já pensou poder planejar as férias com muito mais economia e flexibilidade? Vou te passar o contato de pessoas feras que podem te ajudar com este assunto: (71) 2104-8487 ou através do e-mail: vo.costadosauipe\@aviva.com.br
O que responder quando o hóspede perguntar sobre quais as condições das estradas até o resort?,Revisão - Aviva
O que responder quando perguntarem sobre cupom de desconto para atrativos?,Revisão - Aviva
O que responder se perguntarem se tem touca de banho no quarto?,Todos os apartamentos possuem touca de banho para sua comodidade.
Qual a mensagem de erro quando a assistente não entender?,"Desculpa, não entendi muito bem! Pode tentar novamente, por favor?"
O que dizer após hóspede mandar saudação?,Olá! Vamos lá? 😁
O que dizer após hóspede ter terminado de informar data de check-in e checkout?,Obrigada pelas informações! 😃 Aproveite bastante sua hospedagem.
"Caso o cliente ainda não tenha realizado check-in, qual a mensagem que a assistente deve enviar?","Certo! Para realizar o check-in online, acesse o endereço: services.aviva.com.br. Assim você agiliza a sua entrada no hotel. 😊
"
Apresentação do menu principal,Consigo te ajudar com os seguintes temas aqui na Costa do Sauípe:
Descreva a mensagem de boas vindas do assistente.,"Olá, que bom te receber aqui! Te dou as boas-vindas! Sou a Sol, a assistente digital da Aviva. Estou disponível 24h para te ajudar no que for preciso! ;)

Ah e fique tranquilo, todas as medidas protetivas com relação à COVID-19 estão sendo tomadas."
Mensagem de acolhimento ao usuário que fala com a assistente pela primeira vez,"Muito prazer, {{nomeViajante}}! Estamos muito felizes em te ter aqui por alguns dias! 🥰"
O que informar quando o usuário clicar em Passeios?,"Nosso receptivo oficial é a GROU Turismo, que oferece traslados além de passeios e atividades pela região."
O que informar quando o usuário clicar em Explorar o Resort?,Encante-se com esse paraíso que é Costa do Sauípe. 💛
O que informar caso o usuário ainda não tenha reserva de hospedagem e queria realizar?,"Ainda não tem uma reserva? Corre para garantir os melhores preços ❤️
Vou te ajudar... vamos lá!"
O que responder se perguntarem sobre a possibilidade de estender a reserva?,"Não se preocupe. Vou te ajudar a prolongar o seu check-out. 😊

Para o atendimento humano verificar a disponibilidade com o seu hotel, acesse as opções: Menu Principal -> Solicitar serviços -> Outros -> Late Check-out.
"
O que responder se perguntarem sobre city tour?,"Eu amo a Bahia e espero que você goste também! Para você conhecer mais desse lugar incrível, temos aqui no completo tem o Sauípe Services que cuida dos passeios para fora do Resort, com diversas opções como Praia do Forte, city tour em Salvador, passeio de quadriciclo, de lancha e muito mais! 😁 Através do ramal 8553 você consegue ter mais informações e tirar todas as suas dúvidas. Ou se preferir, pode entrar em contato direto com o nosso parceiro GROU pelo número (71) 99973-3582. Divirta-se!! 😎"
O que responder se perguntarem se o hotel tem salva-vidas?,"Temos salva-vidas para garantir a segurança de todos, eles ficam na piscina até as 18h."
O que responder se o hóspede pedir para mudar de quarto?,Revisão - Aviva
O que responder se o hóspede alegar que o quarto não está limpo?,Revisão - Aviva
O que responder se perguntarem o que tem para fazer com as crianças?,"Vou te contar um segredo: Aqui está cheio de atividades infantis que acontecem durante o dia. O time de recreação realiza várias atividades com as crianças. Nesse momento, todas são ao ar livre e com limitação do número de crianças."
O que responder se perguntarem sobre horário das piscinas?,"As piscinas abrem às 09h e fecha às 18h. Após esse horário não possui mais salva-vidas, então não é recomendável a utilização."
O que responder se perguntarem qual a distância e quanto tempo o hotel fica do aeroporto?,Revisão - Aviva
O que responder se o hóspede perguntar sobre a possibilidade de colocar um berço no quarto?,Revisão - Aviva
O que responder se perguntarem se o hotel tem adaptador de tomada para emprestar ou comprar?,Revisão - Aviva
O que responder se perguntarem se tem ferro no quarto ou empréstimo?,Revisão - Aviva
O que responder se perguntarem por dicas do que levar na mala para o hotel/destino?,"Alguns itens não podem ficar de fora da sua mala: roupas leves, chapéus ou bonés, óculos de sol, calçados arejados (como papetes, sandálias e chinelos), filtro solar, roupão, máquina fotográfica e é claro, muita disposição!"
O que responder se perguntarem sobre dicas do que fazer com crianças fora do hotel?,"Eu amo a Bahia e espero que você goste também! Para você conhecer mais desse lugar incrível, temos aqui no completo tem o Sauípe Services que cuida dos passeios para fora do Resort, com diversas opções como Praia do Forte, city tour em Salvador, passeio de quadriciclo, de lancha e muito mais! 😁 Através do ramal 8553 você consegue ter mais informações e tirar todas as suas dúvidas. Ou se preferir, pode entrar em contato direto com o nosso parceiro GROU pelo número (71) 99973-3582. Divirta-se!! 😎"
O que responder se perguntarem qual o procedimento quando perde o cartão / chave de acesso ao quarto?,Revisão - Aviva
O que responder se perguntarem qual a distância e quanto tempo é do hotel até o centro da cidade?,Revisão - Aviva
O que responder se perguntarem sobre quais são os canais que passam na TV?,Revisão - Aviva
O que a assistente deve responder se perguntarem sobre horário do spá?,"As cabanas de massagens encontram-se próximas às piscinas das alas Premium Brisa, Premium Sol, Mar e Terra. O horário de funcionamento é das 09h às 18h. Para mais informações e reservas, é só ligar no ramal 9. 😉"
"O que responder se o hóspede perguntar se tem shampoo, condicionador e sabonete? Como faz para pedir extras?",Todos os apartamentos possuem shampoo e condicionador para sua comodidade.
O que informar caso não tenha atendentes disponíves no momento da solicitação?,"Opss! Infelizmente não temos atendentes disponíveis no momento para te atender por aqui. Mas olha só, caso você esteja no hotel, fique à vontade para ligar na recepção através do ramal *9. Nossa equipe estará pronta para te atender! 😉"
O que informar quando o usuário clicar em Feedback.,"Sua avaliação é muito importante para nós, assim podemos melhorar a cada dia 😊"
Orientações sobre como realizar o check-out,O checkout é feito ao 12h com tolerância de 30 minutos. Após esse horário é cobrado um valor adicional por pessoa até as 14h. Pode ir até a recepção que faremos seu checkout.
Orientações sobre como realizar o check-in,Você pode acessar o sistema e realizar o web check-in através do link: https://webcheckin.aviva.com.br/ Assim você evita filas e agiliza a sua entrada no hotel. 😊
Qual a mensagem a ser enviada quando o cliente pedir para encerrar o atendimento?,"Agradecemos o seu contato, volte sempre que precisar. 😉"
Qual a mensagem a assistente deve enviar para pedir que o usuário descreva em uma única mensagem a sua solicitação/dúvida?,Obrigada! Agora vou pedir para que você me descreva em uma única mensagem qual a sua solicitação. Pode escrever! 😁
Qual mensagem enviar para o usuário antes de enviá-lo para atendimento humano?,"Legal, vi que temos alguém para te ajudar! 👩‍💻👨‍💻 Só um momento que já estou te direcionando..."
Mensagem a ser enviada antes das opções do Room Service:,Revisão - Aviva
Link da imagem do mapa,Revisão - Aviva
